Datetime,Water Level (m)
2023-10-02 06:00:00,-0.026594112
2023-10-02 07:00:00,-0.11901653
2023-10-02 08:00:00,0.29192954
2023-10-02 09:00:00,0.7157195
2023-10-02 10:00:00,1.1628135
2023-10-02 11:00:00,1.5165615
2023-10-02 12:00:00,1.6077241
2023-10-02 13:00:00,1.4509822
2023-10-02 14:00:00,1.1444992
2023-10-02 15:00:00,0.8560418
2023-10-02 16:00:00,0.59501785
2023-10-02 17:00:00,0.37992123
2023-10-02 18:00:00,0.19234397
2023-10-02 19:00:00,0.03131681
2023-10-02 20:00:00,0.15881252
2023-10-02 21:00:00,0.80420405
2023-10-02 22:00:00,1.3005999
2023-10-02 23:00:00,1.7575788
2023-10-03 00:00:00,1.9686979
2023-10-03 01:00:00,1.8629252
2023-10-03 02:00:00,1.5436397
2023-10-03 03:00:00,1.2368835
2023-10-03 04:00:00,0.95849884
2023-10-03 05:00:00,0.72455174
2023-10-03 06:00:00,0.51128
2023-10-03 07:00:00,0.3312552
2023-10-03 08:00:00,0.21505365
2023-10-03 09:00:00,0.5543444
2023-10-03 10:00:00,1.0730329
2023-10-03 11:00:00,1.4746141
2023-10-03 12:00:00,1.7489221
2023-10-03 13:00:00,1.7557065
2023-10-03 14:00:00,1.499919
2023-10-03 15:00:00,1.205907
2023-10-03 16:00:00,0.94003195
2023-10-03 17:00:00,0.7057281
2023-10-03 18:00:00,0.500533
2023-10-03 19:00:00,0.33644372
2023-10-03 20:00:00,0.25014782
2023-10-03 21:00:00,0.6021433
2023-10-03 22:00:00,1.1194717
2023-10-03 23:00:00,1.568669
2023-10-04 00:00:00,1.9388387
2023-10-04 01:00:00,2.081923
2023-10-04 02:00:00,1.914787
2023-10-04 03:00:00,1.6092865
2023-10-04 04:00:00,1.3246801
2023-10-04 05:00:00,1.0712192
2023-10-04 06:00:00,0.8421079
2023-10-04 07:00:00,0.6446265
2023-10-04 08:00:00,0.49204743
2023-10-04 09:00:00,0.48952037
2023-10-04 10:00:00,0.8752903
2023-10-04 11:00:00,1.2773039
2023-10-04 12:00:00,1.5959191
2023-10-04 13:00:00,1.7593783
2023-10-04 14:00:00,1.6989743
2023-10-04 15:00:00,1.4592738
2023-10-04 16:00:00,1.1897151
2023-10-04 17:00:00,0.94216406
2023-10-04 18:00:00,0.7300717
2023-10-04 19:00:00,0.5481531
2023-10-04 20:00:00,0.4090421
2023-10-04 21:00:00,0.42827228
2023-10-04 22:00:00,0.855394
2023-10-04 23:00:00,1.3029649
2023-10-05 00:00:00,1.6986942
2023-10-05 01:00:00,1.9773175
2023-10-05 02:00:00,2.0331733
2023-10-05 03:00:00,1.8193017
2023-10-05 04:00:00,1.5370619
2023-10-05 05:00:00,1.2651827
2023-10-05 06:00:00,1.022124
2023-10-05 07:00:00,0.8026068
2023-10-05 08:00:00,0.61846775
2023-10-05 09:00:00,0.48548046
2023-10-05 10:00:00,0.48218977
2023-10-05 11:00:00,0.7617633
2023-10-05 12:00:00,1.1193131
2023-10-05 13:00:00,1.3522022
2023-10-05 14:00:00,1.4646163
2023-10-05 15:00:00,1.4091856
2023-10-05 16:00:00,1.2060874
2023-10-05 17:00:00,0.96690226
2023-10-05 18:00:00,0.7504938
2023-10-05 19:00:00,0.5678114
2023-10-05 20:00:00,0.41835415
2023-10-05 21:00:00,0.3281566
2023-10-05 22:00:00,0.4311996
2023-10-05 23:00:00,0.76863587
2023-10-06 00:00:00,1.1365724
2023-10-06 01:00:00,1.4313178
2023-10-06 02:00:00,1.6246759
2023-10-06 03:00:00,1.6365186
2023-10-06 04:00:00,1.452372
2023-10-06 05:00:00,1.2062439
2023-10-06 06:00:00,0.9703264
2023-10-06 07:00:00,0.7615348
2023-10-06 08:00:00,0.57574165
2023-10-06 09:00:00,0.421495
2023-10-06 10:00:00,0.30289206
2023-10-06 11:00:00,0.28588036
2023-10-06 12:00:00,0.4684499
2023-10-06 13:00:00,0.76120514
2023-10-06 14:00:00,0.97538096
2023-10-06 15:00:00,1.0734949
2023-10-06 16:00:00,1.0691749
2023-10-06 17:00:00,0.93085116
2023-10-06 18:00:00,0.74333143
2023-10-06 19:00:00,0.5625968
2023-10-06 20:00:00,0.40925777
2023-10-06 21:00:00,0.29013434
2023-10-06 22:00:00,0.22184968
2023-10-06 23:00:00,0.2828713
2023-10-07 00:00:00,0.51767033
2023-10-07 01:00:00,0.83123684
2023-10-07 02:00:00,1.0879068
2023-10-07 03:00:00,1.2780069
2023-10-07 04:00:00,1.3600785
2023-10-07 05:00:00,1.2709608
2023-10-07 06:00:00,1.0866892
2023-10-07 07:00:00,0.8826924
2023-10-07 08:00:00,0.69514304
2023-10-07 09:00:00,0.5294237
2023-10-07 10:00:00,0.38479298
2023-10-07 11:00:00,0.27567002
2023-10-07 12:00:00,0.21382916
2023-10-07 13:00:00,0.26979804
2023-10-07 14:00:00,0.45643938
2023-10-07 15:00:00,0.69629985
2023-10-07 16:00:00,0.8453696
2023-10-07 17:00:00,0.93696064
2023-10-07 18:00:00,0.93524015
2023-10-07 19:00:00,0.8308298
2023-10-07 20:00:00,0.68074167
2023-10-07 21:00:00,0.53167516
2023-10-07 22:00:00,0.40337154
2023-10-07 23:00:00,0.30625907
2023-10-08 00:00:00,0.27585724
2023-10-08 01:00:00,0.3514181
2023-10-08 02:00:00,0.559535
2023-10-08 03:00:00,0.8304395
2023-10-08 04:00:00,1.0444208
2023-10-08 05:00:00,1.2023679
2023-10-08 06:00:00,1.2602246
